id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
41258,3,28,2021-03-01,RF,1,1,1,GP,2021-03-04,SPECT5RF
41295,3,61,2021-01-20,LF,1,1,1,GN,,
41310,3,49,2021-01-12,RF,1,1,1,GP,2021-01-01,SPECT5RF
41310,3,49,2021-01-12,RF,1,1,1,GP,2021-01-15,SPECT5
41408,3,53,2021-02-26,RF,1,1,1,GP,2021-03-01,SPECT5RF
41408,3,85,2021-03-30,RF,0,0,0,NG,2021-03-01,SPECT5RF
41446,2,229,2021-01-12,RF,1,1,1,GP,,
41446,2,264,2021-02-16,RF,1,1,1,GP,,
41455,3,101,2021-02-15,RR,1,1,1,GP,,
41482,3,152,2021-04-02,RR,0,0,0,NG,,
41573,3,58,2021-03-08,RF,0,0,0,NG,,
41576,2,271,2021-01-08,LF,1,1,1,GP,2021-01-11,SPECT5LF
41688,3,82,2021-03-07,RF,1,1,1,MX,2021-03-10,SPECT5RF
41689,3,95,2021-02-02,RR,0,0,0,NG,,
41689,3,132,2021-03-11,RR,1,1,1,GP,,
41767,2,273,2021-03-22,RF,0,0,0,NG,,
41830,3,15,2021-02-23,LF,1,1,1,MX,,
41836,2,146,2021-01-13,LF,0,0,0,NG,,
41858,2,174,2021-01-05,LR,1,1,1,GP,,
41858,2,,2021-01-15,,0,0,0,NG,,
41878,3,14,2021-02-23,LF,1,1,1,GP,2021-02-26,SPECT5LF
41878,3,56,2021-04-06,LF,1,1,1,GN,2021-02-26,SPECT5LF
41894,3,21,2021-01-08,RF,1,1,1,GP,2021-01-11,SPECT5RF
41901,2,293,2021-03-04,LF,1,1,1,GP,,
41945,2,267,2021-02-12,LF,1,1,1,GP,2021-02-15,SPECT5LF
41945,2,279,2021-02-24,LR,1,1,1,GP,2021-02-15,SPECT5LF
41967,2,259,2021-03-22,RF,1,1,1,GP,,
42042,2,227,2021-01-16,LR,0,0,0,NG,,
42058,2,74,2021-02-12,LF,1,1,1,GP,,
42081,2,161,2021-01-05,RR,1,1,1,GP,,
42087,2,121,2021-03-22,RR,1,1,1,GN,2021-03-25,SPECT5RR
42105,2,80,2021-03-12,LF,0,0,0,NG,,
42117,2,281,2021-02-13,LR,1,1,1,GP,,
42210,2,122,2021-01-08,LF,1,1,1,GP,2021-01-11,SPECT5LF
42254,2,111,2021-01-06,LF,0,0,0,NG,,
42261,2,202,2021-03-05,LF,1,1,1,GP,,
42261,2,221,2021-03-24,LF,1,1,1,GP,,
42275,2,271,2021-01-23,RF,1,1,1,GP,,
42292,2,220,2021-03-08,RF,1,1,1,GP,,
42406,2,164,2021-01-23,RR,0,0,0,NG,,
42438,3,40,2021-03-29,RR,1,1,1,GN,,
42453,2,180,2021-01-01,LF,1,1,1,GP,2021-01-04,SPECT5LF
42478,2,220,2021-03-05,LF,1,1,1,GN,2021-03-08,SPECT5LR
42478,2,231,2021-03-16,LR,0,0,0,NG,2021-03-08,SPECT5LR
42491,2,284,2021-04-04,LF,0,0,0,NG,,
42493,2,169,2021-01-08,RF,1,1,1,GP,,
42493,2,205,2021-02-13,RF,0,0,0,NG,,
42493,2,253,2021-04-02,RF,0,0,0,NG,,
42498,2,118,2021-01-20,RF,0,0,0,NG,,
42498,2,118,2021-01-20,RF,0,0,0,NG,,
42498,2,144,2021-02-15,LF,1,1,1,GP,,
42498,2,167,2021-03-10,LF,0,0,0,NG,,
42522,2,338,2021-04-05,RF,1,1,1,GN,,
42561,2,21,2021-02-16,RF,1,1,1,GN,2021-02-19,SPECT5RF
42586,2,255,2021-04-01,LF,0,0,0,NG,,
42590,2,153,2021-03-25,LF,1,1,1,GP,,
42599,2,285,2021-03-07,LF,0,0,0,NG,,
42618,2,172,2021-01-08,LR,1,1,1,GP,,
42633,2,190,2021-02-25,LR,1,1,1,GN,,
42637,2,228,2021-03-04,RF,0,0,0,NG,,
42677,2,279,2021-04-03,LR,0,0,0,NG,,
42694,2,207,2021-01-24,LF,1,1,1,GP,,
42772,2,223,2021-01-27,RF,0,0,0,NG,,
42819,2,173,2021-01-08,LF,0,0,0,NG,,
42820,2,291,2021-04-01,LF,1,1,1,MX,2021-04-04,SPECT5LF
42823,2,263,2021-02-07,RF,0,0,0,NG,,
42840,2,174,2021-03-04,RF,0,0,0,NG,,
42876,2,187,2021-03-03,LF,1,1,1,GP,,
42892,2,194,2021-02-02,LF,0,0,0,NG,,
42897,2,141,2021-01-20,LF,1,1,1,GN,,
42898,2,123,2021-01-03,RR,1,1,1,MX,,
42922,2,170,2021-01-02,RR,0,0,0,NG,,
42922,2,255,2021-03-28,LR,0,0,0,NG,,
42945,2,265,2021-02-25,LR,0,0,0,NG,,
42982,2,150,2021-03-12,LR,0,0,0,NG,,
42988,2,144,2021-01-15,LF,1,1,1,MX,,
42988,2,164,2021-02-04,RF,1,1,1,GP,,
43030,2,88,2021-02-20,LF,0,0,0,NG,,
43031,2,76,2021-01-27,RF,1,1,1,GP,,
43031,2,109,2021-03-01,RF,1,1,1,GP,,
43049,2,208,2021-02-02,BLOOD,0,0,0,NG,,
43066,2,189,2021-01-21,LR,1,1,1,GP,,
43068,2,251,2021-03-13,RF,1,1,1,GP,,
43076,2,,2021-03-22,,1,1,1,MX,,
43084,2,104,2021-01-23,LR,1,1,1,GP,,
43162,2,195,2021-02-27,RR,0,0,0,NG,,
43251,2,84,2021-01-24,RF,0,0,0,NG,,
43251,2,134,2021-03-15,LF,1,1,1,GP,,
43255,2,2,2021-02-02,RF,1,1,1,GN,,
43279,2,159,2021-01-05,RF,0,0,0,NG,,
43279,2,170,2021-01-16,RF,1,1,1,GP,,
43315,2,248,2021-03-07,LR,0,0,0,NG,,
43336,2,112,2021-02-15,RF,1,1,1,GN,2021-02-18,SPECT5RF
43336,2,112,2021-02-15,RF,1,1,1,GP,2021-02-18,SPECT5RF
43387,2,98,2021-03-04,RR,0,0,0,NG,,
43414,2,87,2021-01-20,LF,0,0,0,NG,,
43415,2,190,2021-01-20,RF,1,1,1,MX,,
43415,2,205,2021-02-04,RF,1,1,1,GP,,
43418,2,271,2021-03-24,BLOOD,0,0,0,NG,,
43421,2,249,2021-04-02,RR,1,1,1,GN,,
43427,2,152,2021-01-02,RF,1,1,1,GP,,
43427,2,162,2021-01-12,RF,0,0,0,NG,,
43467,2,53,2021-02-06,LR,1,1,1,GN,,
43479,2,118,2021-01-21,RF,1,1,1,GP,2021-01-24,SPECT5RF
43479,2,145,2021-02-17,RF,1,1,1,GP,2021-01-24,SPECT5RF
43479,2,168,2021-03-12,RF,0,0,0,NG,2021-01-24,SPECT5RF
43505,2,249,2021-03-14,RR,0,0,0,NG,,
