ID,LACT,FDAT,DIM,Date,HOSPM,Quarter,Dateok,MAST,Trt_MAST,Trt_dec,TRT,CULTURE,CULT_res,CULT_type,REMAST,Trt_REMAST
41836,2,8/20/2020,,,,,4/6/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
41836,2,8/20/2020,258,5/5/2021,HOSPM,RR,5/5/2021,MAST,SPCT3,SPCT3,1,CULTURE,MXRR,MX,,
41836,2,8/20/2020,271,5/18/2021,HOSPM,RR,5/18/2021,,,,,,,,,
41878,3,2/9/2021,,,,,4/6/2021,MAST,SP5,SP5,1,CULTURE,GNLF,GN,,
41878,3,2/9/2021,114,6/3/2021,HOSPM,LF,6/3/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
41895,3,5/12/2021,43,6/24/2021,HOSPM,LF,6/24/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
41935,3,4/8/2021,81,6/28/2021,HOSPM,BLOOD,6/28/2021,,,,,,,,,
41968,3,12/15/2020,134,4/28/2021,HOSPM,RF,4/28/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
42066,2,8/20/2020,249,4/26/2021,HOSPM,RF,4/26/2021,MAST,SP2 RF,SP2 R,1,CULTURE,GNRF,GN,,
42083,3,6/16/2021,1,6/17/2021,HOSPM,BLOOD,6/17/2021,,,,,,,,,
42106,3,2/26/2021,,,,,5/24/2021,,,,,CULTURE,GNLR,GN,,
42106,3,2/26/2021,88,5/25/2021,HOSPM,LR,5/25/2021,,,,,,,,,
42130,3,5/31/2021,,,,,6/20/2021,MAST,SPECT3LR,SPECT,1,,,,,
