id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
43573,2,183,2021-05-21,LR,1,1,1,GP,2021-05-24,SPECT5LR
43584,2,206,2021-04-17,LF,0,0,0,NG,,
43587,2,130,2021-04-23,RF,0,0,0,NG,,
43630,2,,2021-05-24,,0,0,0,NG,,
43630,2,232,2021-06-22,LF,1,1,1,GN,,
43689,2,71,2021-05-14,RF,0,0,0,NG,,
43689,2,,2021-05-24,,0,0,0,NG,,
43718,2,126,2021-06-25,RF,0,0,0,NG,,
43869,2,282,2021-05-20,RF,1,1,1,GN,2021-05-24,SPECT5RF
43929,2,240,2021-05-06,RR,1,1,1,GP,,
43986,2,220,2021-04-25,BLOOD,0,0,0,NG,,
44032,2,113,2021-04-25,RR,0,1,0,GN,,
44032,2,140,2021-05-22,LR,1,1,1,GN,,
44061,2,40,2021-05-04,RR,1,1,1,MX,2021-05-07,SPECT5
44091,2,287,2021-06-25,RR,1,1,1,GN,,
44227,2,,2021-05-02,,0,0,0,NG,,
44227,2,113,2021-05-26,RR,0,0,0,NG,,
44312,2,150,2021-06-14,LF,1,1,1,GN,,
44315,2,165,2021-05-21,LF,0,0,0,NG,,
44383,2,162,2021-05-31,LF,0,0,0,NG,,
44401,2,126,2021-06-06,LF,1,1,1,GN,,
44509,1,450,2021-05-22,RR,1,1,1,GN,,
44657,2,,2021-04-06,,1,1,1,MX,,
44795,2,81,2021-04-11,RF,1,1,1,GP,,
44944,2,10,2021-05-16,LR,0,0,0,NG,2021-05-19,SPECT5LR
45142,2,81,2021-05-14,LF,0,0,0,NG,,
45360,2,20,2021-05-11,LR,0,0,0,NG,,
45431,1,400,2021-06-12,LF,0,0,0,NG,,
45442,2,118,2021-06-28,LF,0,0,0,NG,,
45503,2,80,2021-06-06,LR,1,1,1,GN,,
45514,2,28,2021-06-11,LF,0,0,0,NG,,
45615,1,400,2021-06-12,RR,1,1,1,GP,,
46145,1,307,2021-05-12,LF,1,1,1,GN,,
46160,1,248,2021-05-12,RR,1,1,1,GP,,
46244,1,292,2021-04-14,BLOOD,0,0,0,NG,2021-04-23,SPECT5LF
46250,1,230,2021-04-21,LR,1,1,1,GP,,
46273,1,221,2021-04-25,LR,1,1,1,MX,2021-04-29,SPECT5LR
