"ID","LACT","FDAT","DIM","Date","HOSPM","Quarter","Dateok","MAST","Trt_MAST","Trt_dec","TRT","CULTURE","CULT_res","CULT_type","REMAST","Trt_REMAST"
36461,4,08/04/2020,169,01/20/2021,HOSPM,RF,01/20/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GNRF,GN,,
36461,4,08/04/2020,177,01/28/2021,HOSPM,RECULTUR,01/28/2021,,,,,CULTURE,NG,NG,,
36464,4,07/21/2020,176,01/13/2021,HOSPM,LR,01/13/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
36467,5,12/18/2020,77,03/05/2021,HOSPM,LF,03/05/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
36528,4,11/06/2020,128,03/14/2021,HOSPM,LR,03/14/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GNLR,GN,,
36528,4,11/06/2020,142,03/28/2021,HOSPM,LF,03/28/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
36596,4,10/18/2020,82,01/08/2021,HOSPM,RF,01/08/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,MXRF,MX,,
36596,4,10/18/2020,,,,,01/11/2021,,,,,,,,REMAST,SPECT5RF
36598,4,09/16/2020,113,01/07/2021,HOSPM,RF,01/07/2021,,,,,CULTURE,GPRF,GP,,
36600,4,07/06/2020,271,04/03/2021,HOSPM,LF,04/03/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
36624,4,07/08/2020,202,01/26/2021,HOSPM,RF,01/26/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
36629,4,09/09/2020,157,02/13/2021,HOSPM,RF,02/13/2021,MAST,SPCT3,SPCT3,1,CULTURE,GNRF,GN,,
36634,4,08/21/2020,147,01/15/2021,HOSPM,RF,01/15/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GNRF,GN,,
36634,4,08/21/2020,,,,,01/18/2021,,,,,,,,REMAST,SPECT5RF
36634,4,08/21/2020,153,01/21/2021,HOSPM,RF,01/21/2021,,,,,CULTURE,NGRF,NG,,
36730,4,09/08/2020,162,02/17/2021,HOSPM,LF,02/17/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,MXLF,MX,,
36730,4,09/08/2020,,,,,02/20/2021,,,,,,,,REMAST,SPECT5LF
36733,4,12/21/2020,37,01/27/2021,HOSPM,LF,01/27/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
36799,4,10/18/2020,124,02/19/2021,HOSPM,LR,02/19/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
36812,3,02/15/2020,,,,,03/08/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
36812,3,02/15/2020,388,03/09/2021,HOSPM,LF,03/09/2021,,,,,,,,,
36826,4,07/27/2020,190,02/02/2021,HOSPM,RF,02/02/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
